,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Tahe,52.3333,124.7333,-4.05,overcast clouds,100,99,2.21,CN
1,Tasiilaq,65.6145,-37.6368,14.16,broken clouds,65,51,10.31,GL
2,Mora,11.0461,14.1401,75.96,scattered clouds,10,33,8.52,CM
3,Bluff,-46.6,168.3333,59.81,overcast clouds,97,98,5.5,NZ
4,Whitefish,48.4111,-114.3376,38.05,overcast clouds,79,100,3.44,US
5,Rikitea,-23.1203,-134.9692,78.75,clear sky,67,3,16.31,PF
6,Komsomolskiy,40.4272,71.7189,35.02,overcast clouds,75,100,4.61,UZ
7,Yellowknife,62.456,-114.3525,-11.7,light snow,73,100,8.05,CA
8,Hami,42.8,93.45,27.01,overcast clouds,38,97,0.4,CN
9,Lompoc,34.6391,-120.4579,83.12,clear sky,32,0,5.75,US
10,Barrow,71.2906,-156.7887,-23.78,haze,62,0,14.97,US
11,Vitim,59.4511,112.5578,-15.99,overcast clouds,100,99,2.66,RU
12,Ushuaia,-54.8,-68.3,58.62,scattered clouds,41,40,14.97,AR
13,Razdolinsk,58.4211,94.6658,-18.15,few clouds,99,16,2.39,RU
14,East London,-33.0153,27.9116,68.94,clear sky,83,0,8.05,ZA
15,Vanderhoof,54.0166,-124.0198,42.35,overcast clouds,87,100,5.35,CA
16,Astara,38.5,48.6667,48.18,overcast clouds,60,86,12.35,AZ
17,Mataura,-46.1927,168.8643,59.49,overcast clouds,99,100,1.88,NZ
18,El Tigre,8.8875,-64.2454,92.34,overcast clouds,25,87,8.05,VE
19,Novyy Urengoy,66.0833,76.6333,-3.41,scattered clouds,94,49,11.81,RU
20,Antofagasta,-23.65,-70.4,71.22,scattered clouds,67,43,9.28,CL
21,Port Elizabeth,-33.918,25.5701,70.11,clear sky,88,0,5.75,ZA
22,Fairbanks,64.8378,-147.7164,-6.39,haze,74,100,0.0,US
23,Albany,42.6001,-73.9662,43.48,clear sky,54,9,3.0,US
24,Khatanga,71.9667,102.5,-0.96,overcast clouds,91,100,15.37,RU
25,Bundaberg,-24.85,152.35,66.22,clear sky,90,0,1.99,AU
26,Katsuura,35.1333,140.3,45.19,moderate rain,71,100,14.76,JP
27,Atuona,-9.8,-139.0333,77.99,light rain,78,19,17.72,PF
28,La Ronge,55.1001,-105.2842,7.05,overcast clouds,72,100,9.22,CA
29,Cape Town,-33.9258,18.4232,72.88,clear sky,73,0,9.22,ZA
30,Airai,-8.9266,125.4092,61.29,overcast clouds,93,100,1.21,TL
31,Santa Fe,-31.6333,-60.7,93.02,clear sky,26,6,5.01,AR
32,Tiarei,-17.5333,-149.3333,84.0,scattered clouds,77,31,17.92,PF
33,Faanui,-16.4833,-151.75,81.14,broken clouds,77,66,16.46,PF
34,Port Hedland,-20.3167,118.5667,78.85,scattered clouds,89,40,6.91,AU
35,Amapa,1.0,-52.0,83.61,overcast clouds,72,93,3.04,BR
36,Severo-Kurilsk,50.6789,156.125,31.53,light snow,87,100,17.81,RU
37,Port Alfred,-33.5906,26.891,69.24,clear sky,81,0,8.14,ZA
38,Punta Arenas,-53.15,-70.9167,53.11,broken clouds,37,68,29.35,CL
39,Arraial Do Cabo,-22.9661,-42.0278,75.16,light intensity drizzle,94,75,8.05,BR
40,San Patricio,28.017,-97.5169,71.69,clear sky,36,0,3.13,US
41,Busselton,-33.65,115.3333,61.09,scattered clouds,67,35,11.86,AU
42,Bredasdorp,-34.5322,20.0403,70.92,clear sky,64,0,12.66,ZA
43,Evensk,61.95,159.2333,-11.9,few clouds,72,24,5.61,RU
44,Dikson,73.5069,80.5464,0.05,overcast clouds,94,99,21.45,RU
45,Marystown,47.1666,-55.1483,38.86,overcast clouds,100,100,8.99,CA
46,Jamestown,42.097,-79.2353,49.32,scattered clouds,52,40,16.11,US
47,Marsh Harbour,26.5412,-77.0636,76.46,clear sky,71,5,10.8,BS
48,Nouadhibou,20.931,-17.0347,89.58,clear sky,11,10,4.61,MR
49,Varkaus,62.3153,27.873,32.11,overcast clouds,93,98,8.52,FI
50,Panguna,-6.3164,155.4848,69.31,overcast clouds,94,95,1.03,PG
51,Gat,31.61,34.7642,56.08,broken clouds,100,62,18.68,IL
52,Avarua,-21.2078,-159.775,77.05,overcast clouds,88,99,1.14,CK
53,Pak Phanang,8.3511,100.202,78.93,scattered clouds,82,46,6.31,TH
54,Bolshoye Murashkino,55.7826,44.7754,21.6,overcast clouds,99,100,3.18,RU
55,New Norfolk,-42.7826,147.0587,60.3,light rain,65,84,1.01,AU
56,Muchkapskiy,51.8513,42.4717,30.49,overcast clouds,97,100,10.02,RU
57,Chuy,-33.6971,-53.4616,75.83,scattered clouds,53,41,10.29,UY
58,Skotterud,59.9828,12.1283,36.91,clear sky,60,3,12.86,NO
59,Carnarvon,-24.8667,113.6333,77.45,clear sky,71,0,22.68,AU
60,Victoria,22.2855,114.1577,63.95,overcast clouds,85,100,5.99,HK
61,Waipawa,-41.4122,175.5153,68.63,light rain,98,99,5.17,NZ
62,Rivers,50.0308,-100.2403,16.75,few clouds,87,15,6.87,CA
63,Price,39.5994,-110.8107,47.46,clear sky,31,0,18.41,US
64,Pevek,69.7008,170.3133,-31.49,overcast clouds,99,100,5.68,RU
65,Arman,59.7,150.1667,-3.42,overcast clouds,78,100,6.44,RU
66,Chokurdakh,70.6333,147.9167,-37.68,overcast clouds,99,92,8.61,RU
67,Acapulco,16.8634,-99.8901,84.02,clear sky,58,0,2.3,MX
68,Qaanaaq,77.484,-69.3632,-20.76,overcast clouds,78,93,5.03,GL
69,Kodiak,57.79,-152.4072,24.31,clear sky,63,0,8.05,US
70,Susanville,40.4163,-120.653,43.92,clear sky,50,0,0.0,US
71,Kuala Lipis,4.1842,102.0468,71.89,light rain,99,100,1.21,MY
72,Gwembe,-16.4975,27.6069,65.64,scattered clouds,91,26,1.21,ZM
73,Poyarkovo,49.6,128.6833,4.77,overcast clouds,98,100,1.34,RU
74,Eenhana,-17.4667,16.3333,75.09,light rain,61,88,2.53,NA
75,Vanimo,-2.6741,141.3028,77.07,overcast clouds,89,89,2.59,PG
76,Saint-Georges,12.0564,-61.7485,83.88,scattered clouds,65,40,18.41,GD
77,Vaini,-21.2,-175.2,78.96,few clouds,94,20,6.91,TO
78,Balkhash,46.844,74.9804,13.68,overcast clouds,95,98,5.61,KZ
79,Revuca,48.6835,20.1173,41.86,broken clouds,96,67,2.98,SK
80,Nanortalik,60.1432,-45.2371,22.57,broken clouds,62,61,3.94,GL
81,Saint-Philippe,-21.3585,55.7679,76.59,overcast clouds,79,98,7.49,RE
82,Petropavlovsk-Kamchatskiy,53.0452,158.6483,19.99,broken clouds,100,75,6.71,RU
83,Asau,46.4333,26.4,34.72,broken clouds,89,56,6.11,RO
84,Katobu,-4.9408,122.5276,75.18,moderate rain,91,95,1.52,ID
85,Road Town,18.4167,-64.6167,78.89,broken clouds,78,75,13.8,VG
86,Concordia,-31.393,-58.0209,87.87,few clouds,43,20,8.01,AR
87,Teya,60.3778,92.6267,-7.6,overcast clouds,98,87,1.12,RU
88,Tuktoyaktuk,69.4541,-133.0374,-31.0,mist,68,75,14.97,CA
89,Bengkulu,-3.8004,102.2655,77.54,heavy intensity rain,76,100,6.89,ID
